Choose Publication;Count String Search
Bonab and Can (b);102
Zhang et al. (b);92
Ghomeshi;86
Losing, Wersing and Hammer;64
Cano and Krawczyk;58
Gomes et al.;58
Wang et al.;58
Zhang et al. (a);58
Lu, Cheung and Tang;57
Brzeziïnski;54
Joe-Yen;51
Rahman;51
Sun et al.;45
Suïarez-Cetrulo, Cervantes and Quintana;43
Bifet et al.;41
Ferreira et al.;37
Kotecha and Garg;37
Li et al.;37
Padmalatha, Reddy and Rani;37
Barddal and Enembreck;36
Costa et al. (b);36
Karax et al.;36
Song et al.;36
Zhang and Liu;35
Cassidy and Deviney;22
Costa et al. (a);22
Yin, Huang and Hao;22
Zhukov, Sidorov and Foley;22
Han and Shi;21
Marron, Bifet and Morales;21
Mejri, Khanchel and Limam;21
Pozzolo et al.;21
Siegel;21
Wang and Li;21
Bonab and Can (a);20
Xiong, Wang and Cheng;19
Mirkhan, Haeri and Meybodi;18
Nie;16
Denil et al.;12
Marron et al.;12
Ren et al.;12
Almeida et al.;11
Dong et al.;11
Goel and Batra;11
Mulinka et al.;11
Rehn, Ahmadi and Kramer;11
Demertzis et al;10
Gouk et al.;10
Manninger;10
Salaheldin, Maher and Helw;10
Khanchi, Zincir-Heywood and Heywood;8
Moumtzidou et al.;5
Kamble and Patil;4
Karlsson et al.;4
Ko, Kwak and Nam;4
Mulinka and Casas;4
Feng et al.;3
Ghourchian et al.;3
Lakshminarayanan (a);3
Lucas et al.;3
Saffari et al.;3
Yang et al;3
Li and Liu;2
Kourtellis et al.;1
Lakshminarayanan Roy and Teh (b);1
Mathy et al.;1
Peter et al.;1
Xie, Peng and Wang;1
Xiong et al.;1
Pietruczuk et al.;0
(a) or (b) represent order citation in the paper;
